轮数,方向,预测值,算法开始时间,是否下单,下单价格,档位,下单量,下单耗时(从预测到下单),r1,r2,std,freq,qty_scalar,经过时间,剩余时间,目标速度,实际速度,剩余量,是否为最后一轮
1,BUY,1.489673,21:07:23.347635419,yes,8.070000,ask1,100,00:00:00.000046234,0.909091,1.100000,0.970103,2,1,333,3267,21.250000,0.300300,76400,no
2,BUY,0.884970,21:07:23.347635419,yes,8.080000,ask1,100,00:00:00.000036264,0.826446,1.210000,0.970103,2,1,338,3262,21.250000,0.591700,76300,no
3,BUY,0.557849,21:07:23.347635419,no,-,-,-,-,0.751315,1.331000,0.970103,2,1,343,3257,21.250000,0.583000,76300,no
4,BUY,0.421591,21:07:23.347635419,no,-,-,-,-,0.683013,1.464100,0.970103,2,1,348,3252,21.250000,0.574700,76300,no
5,BUY,0.266979,21:07:23.347635419,no,-,-,-,-,0.620921,1.610510,0.970103,2,1,352,3248,21.250000,0.568100,76300,no
6,BUY,0.792508,21:07:23.347635419,yes,8.070000,ask1,100,00:00:00.000037363,0.564474,1.771561,0.970103,2,1,359,3241,21.250000,0.835600,76200,no
7,BUY,0.129762,21:07:23.347635419,no,-,-,-,-,0.513158,1.948717,0.970103,2,1,362,3238,21.250000,0.828700,76200,no
8,BUY,-0.434730,21:07:23.347635419,no,-,-,-,-,0.466507,2.143589,0.970103,2,1,367,3233,21.250000,0.817400,76200,no
9,BUY,1.246114,21:07:23.347635419,yes,8.070000,ask1,200,00:00:00.000039440,0.424098,2.357948,0.970103,2,1,371,3229,21.250000,1.347700,76000,no
10,BUY,-0.135916,21:07:23.347635419,no,-,-,-,-,0.385543,2.593742,0.970103,2,1,376,3224,21.250000,1.329700,76000,no
11,BUY,0.309305,21:07:23.347635419,no,-,-,-,-,0.350494,2.853117,0.970103,2,1,381,3219,21.250000,1.312300,76000,no
12,BUY,0.022091,21:07:23.347635419,no,-,-,-,-,0.318631,3.138428,0.970103,2,1,386,3214,21.250000,1.295300,76000,no
13,BUY,0.157377,21:07:23.347635419,no,-,-,-,-,0.289664,3.452271,0.970103,2,1,392,3208,21.250000,1.275500,76000,no
14,BUY,-0.101056,21:07:23.347635419,no,-,-,-,-,0.263331,3.797498,0.970103,2,1,397,3203,21.250000,1.259400,76000,no
15,BUY,-0.131397,21:07:23.347635419,no,-,-,-,-,0.239392,4.177248,0.970103,2,1,402,3198,21.250000,1.243700,76000,no
16,BUY,-0.256880,21:07:23.347635419,no,-,-,-,-,0.217629,4.594973,0.970103,2,1,408,3192,21.250000,1.225400,76000,no
17,BUY,0.416777,21:07:23.347635419,yes,8.080000,ask1,500,00:00:00.000035539,0.197845,5.054470,0.970103,2,1,411,3189,21.250000,2.433000,75500,no
18,BUY,0.085387,21:07:23.347635419,no,-,-,-,-,0.179859,5.559917,0.970103,2,1,414,3186,21.250000,2.415400,75500,no
19,BUY,0.127214,21:07:23.347635419,no,-,-,-,-,0.163508,6.115909,0.970103,2,1,419,3181,21.250000,2.386600,75500,no
20,BUY,0.344207,21:07:23.347635419,yes,8.080000,ask1,600,00:00:00.000035971,0.148644,6.727500,0.970103,2,1,423,3177,21.250000,2.364000,75500,no
21,BUY,0.181455,21:07:23.347635419,yes,8.080000,ask1,700,00:00:00.000037048,0.135131,7.400250,0.970103,2,1,428,3172,21.250000,3.738300,74900,no
22,BUY,-0.179812,21:07:23.347635419,no,-,-,-,-,0.122846,8.140275,0.970103,2,1,433,3167,21.250000,5.311700,74200,no
23,BUY,0.208982,21:07:23.347635419,yes,8.080000,ask1,800,00:00:00.000037390,0.111678,8.954302,0.970103,2,1,438,3162,21.250000,5.251100,74200,no
24,BUY,-0.076436,21:07:23.347635419,no,-,-,-,-,0.101526,9.849733,0.970103,2,1,443,3157,21.250000,6.997700,73400,no
25,BUY,-0.148918,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,447,3153,21.250000,6.935100,73400,no
26,BUY,-0.270124,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,451,3149,21.250000,6.873600,73400,no
27,BUY,0.758173,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000035781,0.100000,10.000000,0.970103,2,1,458,3142,21.250000,6.768500,73400,no
28,BUY,0.148902,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000043308,0.100000,10.000000,0.970103,2,1,463,3137,21.250000,11.015100,71400,no
29,BUY,-0.173225,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,466,3134,21.250000,10.944200,71400,no
30,BUY,-0.126822,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,471,3129,21.250000,10.828000,71400,no
31,BUY,-0.185063,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,475,3125,21.250000,10.736800,71400,no
32,BUY,0.308176,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000034702,0.100000,10.000000,0.970103,2,1,480,3120,21.250000,10.625000,71400,no
33,BUY,0.215002,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000036112,0.100000,10.000000,0.970103,2,1,485,3115,21.250000,14.639100,69400,no
34,BUY,0.138207,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000063853,0.100000,10.000000,0.970103,2,1,489,3111,21.250000,16.564400,68400,no
35,BUY,0.415177,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000037127,0.100000,10.000000,0.970103,2,1,495,3105,21.250000,18.383800,67400,no
36,BUY,0.522535,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000040514,0.100000,10.000000,0.970103,2,1,499,3101,21.250000,18.236400,67400,no
37,BUY,-0.359521,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,503,3097,21.250000,20.079500,66400,no
38,BUY,-0.187464,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,508,3092,21.250000,19.881800,66400,no
39,BUY,-0.175794,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,514,3086,21.250000,19.649800,66400,no
40,BUY,-0.432455,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,518,3082,21.250000,19.498000,66400,no
41,BUY,-0.409425,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,523,3077,21.250000,19.311600,66400,no
42,BUY,-0.350044,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,528,3072,21.250000,19.128700,66400,no
43,BUY,-0.385252,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,533,3067,21.250000,18.949300,66400,no
44,BUY,-0.522450,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,538,3062,21.250000,18.773200,66400,no
45,BUY,-0.651226,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,543,3057,21.250000,18.600300,66400,no
46,BUY,-0.819754,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,548,3052,21.250000,18.430600,66400,no
47,BUY,-0.739874,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,554,3046,21.250000,18.231000,66400,no
48,BUY,-0.527979,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,557,3043,21.250000,18.132800,66400,no
49,BUY,-0.731285,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,564,3036,21.250000,17.907800,66400,no
50,BUY,-0.746971,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,569,3031,21.250000,17.750400,66400,no
51,BUY,-0.346631,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,574,3026,21.250000,17.595800,66400,no
52,BUY,-0.232105,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,578,3022,21.250000,17.474000,66400,no
53,BUY,-0.832090,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,583,3017,21.250000,17.324100,66400,no
54,BUY,-0.098140,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,587,3013,21.250000,17.206100,66400,no
55,BUY,-0.049420,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,593,3007,21.250000,17.032000,66400,no
56,BUY,-0.475911,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,597,3003,21.250000,16.917900,66400,no
57,BUY,-0.003297,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,605,2995,21.250000,16.694200,66400,no
58,BUY,-0.017034,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,609,2991,21.250000,16.584500,66400,no
59,BUY,-0.036396,21:07:23.347635419,no,-,-,-,-,0.100000,10.000000,0.970103,2,1,615,2985,21.250000,16.422700,66400,no
60,BUY,0.339233,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000036301,0.100000,10.000000,0.970103,2,1,620,2980,21.250000,17.903200,65400,no
61,BUY,0.742357,21:07:23.347635419,yes,8.070000,ask1,1000,00:00:00.000035461,0.100000,10.000000,0.970103,2,1,624,2976,21.250000,17.788400,65400,no
